Dataset/Model,Optimal WL,Mean Purity (Optimal WL),Mean Purity (WL-1),Δ Purity
Small / ResNet-50,4,0.7790784322607824,0.5545681288188089,0.22451030344197354
Small / ResNet-18,8,0.8640505058003543,0.7692010938653833,0.09484941193497098
Large / ResNet-18,8,0.8473748085183719,0.7758469971967547,0.07152781132161723
Large / ResNet-50,15,0.8712921154209802,0.5825821607129226,0.2887099547080576
