Model/Dataset,Optimal WL,Masked AUC,Δ-max,Energy Ratio
ResNet-50 Small,4,0.7714006674080507,-0.00767776485273175,0.752779786
ResNet-18 Small,8,0.8610119573435895,-0.003038548456764767,0.823267796
ResNet-18 Large,8,0.8673440299536977,0.019969221435325868,0.6367118318421051
ResNet-50 Large,15,0.8625658846632117,-0.00872623075776846,0.6606861355263157
